"Name","Definition","Status","Related Terms","Synonyms","Acronym","Experts","Stewards","Resources","[Attribute][Business Glossary]Domain","[Attribute][Business Glossary]Equivalent Phrases","[Attribute][Business Glossary]System-Table-Field"
"Deletion Indicator","Indicator showing that the BOM header or the BOM item has been deleted with reference to the change number.
This indicator is relevant to changes that have been made with reference to a change number with a validity that has been specified using a new validity type.","Approved","","","","","Rachel.Merrill@hanes.com:Rachel Merrill-Product Data Domain Lead;","","Material-Product","","MDG-STAS-LKENZ, MDG-STPO-LKENZ"
"Special Procurement Type for Costing","Key that you use to specify the material's procurement type predetermined by the material type in more detail for costing. If you enter a special procurement type in the Costing view of the material master record, it will be used in costing. If you do not enter a special procurement type in the costing view of the material master record, the system will use the special procurement type in the MRP view.
If you want to cost an externally procured material by ignoring the quantity structure in costing, you have the following options:
�In the MRP view of the material master record, enter procurement type F and no special procurement type (neither in the MRP view nor in the Costing view).
�In Customizing for Product Cost Planning, create a new special procurement type (procurement type: F; special procurement type: blank) and enter this special procurement type in the material's Costing view.
If you want to cost a material by ignoring the BOM but including the routing, go into Customizing for Product Cost Planning and create a new special procurement type (procurement type: E; special procurement type: E) and enter this special procurement type in the material's Costing view.","Approved","","","","","Rachel.Merrill@hanes.com:Rachel Merrill-Product Data Domain Lead;","","Material-Product","","MDG-MARC-SOBSK"
"TRANSACTION CODE (T-CODE)","An alphanumeric code that can be manually keyed that enables selection of SAP menu options","Approved","","","","","Charlie.Crews@hanes.com:Charlie Crews - Director, Enterprise Data & Governance;","","General","",""
"Brand Name Code (APS)","The brand code should be the brand code the style will be associated with upon adoption. ","Approved","","","","","Catherine.Brown@hanes.com:Cathy Brown;","","Material-Product","","APS-STYLE_PRT-BRAND_NAME_CD"
"Assign Batches in ARun","Specifies that batches are assigned to requirements during the Supply Assignment (ARun) only if the:
�Material is relevant to ARun.
�Material is managed in batches.
Use
You can choose one of the following values:
�1 (Assign Batches): Batches are assigned to a material relevant to ARun.
�"" "" (Do not Assign Batches): Batches are not assigned to a material even though the material is relevant to ARun.
Dependencies
The system uses this value while listing the material for this site.","Approved","","","","","Rachel.Merrill@hanes.com:Rachel Merrill-Product Data Domain Lead;","","Site","","MDG-T001W-ARUN_FIX_BATCH"
"PRICE DETERMINATION","Article price determination calculates the periodic unit price for an Article. The standard price and the cumulative single-level differences of the period are taken into account.","Approved","","","","","Charlie.Crews@hanes.com:Charlie Crews - Director, Enterprise Data & Governance;","","General","",""
"Prod feature legtype","Product feature representing leg type","Approved","","","","Lane.Bryant@hanes.com:PRODUCT DEV Lane Bryant (Sr Mgr);","Rachel.Merrill@hanes.com:Rachel Merrill-Product Data Domain Lead;","","Material-Product","","MDG-MARA-ZZPRODFEATURE_LEGTYPE"
"INTRACOMPANY/INTERCOMPANY STO","Stock transfer between Inter company company happens when the company codes are different. If teh company code is single and the stock is transfering between plants then its called intra company","Approved","","","","","Charlie.Crews@hanes.com:Charlie Crews - Director, Enterprise Data & Governance;","","General","",""
"Prod feature needlecount","Product feature representing needle count","Approved","","","","Lane.Bryant@hanes.com:PRODUCT DEV Lane Bryant (Sr Mgr);","Rachel.Merrill@hanes.com:Rachel Merrill-Product Data Domain Lead;","","Material-Product","","MDG-MARA-ZZPRODFEATURE_NEEDLECOUNT"
"SOLD-TO NAME","The name of the Customer Sold-to Party","Approved","","","","","Charlie.Crews@hanes.com:Charlie Crews - Director, Enterprise Data & Governance;","","General","",""
"Start Ship Date (APS)","
THE START ship DATE IS required IF THE designation code IS SET TO 1 indicating a SKU IS shippable.        ","Approved","","","","","Catherine.Brown@hanes.com:Cathy Brown;","","Material-Product","","APS-SKU_PRT-START_SHIP_DATE"
"Plan Prod Group  Code (APS)","
THE planning product GROUP IS a planning categorization.   Planning Product GROUP can NOT be IN THE FOLLOWING ranges:
 	SX600-SX899
 	SH500-SH599
 	SJ300-SJ399
 	SE800-SE999
 	SCS01-SCS99
","Approved","","","","","Catherine.Brown@hanes.com:Cathy Brown;","","Material-Product","","APS-STYLE-PLAN_PROD_GROUP_CD"
"Each Cnsmr Unit Indicator (APS)","EACH_CNSMR_UNIT_IND indicators are set to N for Printables and All Corporate Division codes. EACH_CNSMR_UNIT_IND indicators are set to Y  forCasual wear jersey, Attributed Jersey,

 Row#	CORP_DIVISION_CD	CORP_DIVISION_SHORT_DESC	EACH_CNSMR_UNIT_IND

1	25	CASUALWEAR JERSEY	Y
2	26	ATTRIBUTED JERSEY	Y
3	35	PRINTABLES	N
4	AL	ALL	N
","Approved","","","","","Catherine.Brown@hanes.com:Cathy Brown;","","Material-Product","","APS-STYLE-EACH_CNSMR_UNIT_IND"
"RECEIVING STORAGE LOCATION","Receiving storage location – the storage location that is to receive the goods/materials.","Approved","","","","","Charlie.Crews@hanes.com:Charlie Crews - Director, Enterprise Data & Governance;","","General","",""
"Bank Country Key","Identifies the country in which the bank is based.
Use
The country key determines according to which rules the remaining bank data (for example, bank number and bank account number) is checked.","Approved","","","","Steven.Caudill@hanes.com:Steven Caudill-Sr Mgr Global Transaction Services;","Rachel.Merrill@hanes.com:Rachel Merrill-Product Data Domain Lead;","","Supplier","Bank Country","MDG-BUT0BK-BANKS"
"Season Category","Key identifying the season category.","Approved","","","","","Rachel.Merrill@hanes.com:Rachel Merrill-Product Data Domain Lead;","","Material-Product","","MDG-MARA-SAISO"
"Capacity Consumption Policy (IBP)","Specifies how the capacity consumption is modeled in the production process.","Approved","","","","","Rachel.Merrill@hanes.com:Rachel Merrill-Product Data Domain Lead;","","Planning","","IBP-Production Source-PCAPACONSPOLICY"
"Bleaching Indicator (APS)","Indicator If Plant Is A Bleaching Plant","Approved","","","","","Catherine.Brown@hanes.com:Cathy Brown;","","Site","","APS-PLANT-BLEACHING IND"
"Minimum Production Lot Size (IBP)","Minimum procurement quantity of a receipt. Use. If you define a minimum lot size, the system can only create receipts with a procurement quantity that does not fall short of the minimum lot size.Minimum lot size : This is Minimum lot size for which requirement will be generated through system (MRP) . If your minimum lot size is 50 & although requirement is of 30 nos, System will generated schedule lines for 50 nos.","Approved","","","","","dean.spriegel@hanes.com:Dean Spriegel - Planning Domain Lead;","","Planning","","IBP-Production Source-PMINLOTSIZE"
"Print Sew Only Doc Indicator (APS)","Print Sew Only Document Indicator","Approved","","","","","Catherine.Brown@hanes.com:Cathy Brown;","","Site","","APS-PLANT-PRINT SEW ONLY DOC IND"
"Address Key","Identification of an address (name, postal code, city, and so on) in Business Address Services.","Approved","","","","","Rachel.Merrill@hanes.com:Rachel Merrill-Product Data Domain Lead;","","Supplier","","MDG-LFA1-ADRNR"
"Trailer  Code (APS)","The Trailer code for Corporate Business Units Champion, Printables, Casual Wear, Underwear, Intimate Panties/Bras are set to 40.  All others are set to null values.","Approved","","","","","Cassandra.Martin@hanes.com:Cassandra Martin - Finance Domain Lead;","","Finance","","APS-CORP_BUSINESS_UNIT-TRAILER_CD"
"Mfg Asrmt Indicator (APS)","The assortment code indicates the type of assortment.  ","Approved","","","","","Catherine.Brown@hanes.com:Cathy Brown;","","Material-Product","","APS-STYLE-MFG_ASRMT_IND"
"Store (AFS)","the xref for Store is the customers Partner Description","Approved","","","","Paola.Marsal@hanes.com: Sr. Mgr Customer Service;","Kimberly.Beardsley@hanes.com:Kim Beardsley-Customer Domain Lead;","","Customer","","AFS-ZTSA_CUST_XREF-ZZDSTORE"
"Proto","Proto Number/Version is a reference to the markers associated with a garment style","Approved","","","","","Rachel.Merrill@hanes.com:Rachel Merrill-Product Data Domain Lead;","","Material-Product","","MDG-MARA-ZZPROTONUM"
"PRE-PROCESSOR","An enhancement used in enhancement of Remit received in EDI 823 and EDI 820. Pre-Processor also Matches Payments received in EDI 823 for 820 Customers to their EDI 820 Remit .","Approved","","","","","Charlie.Crews@hanes.com:Charlie Crews - Director, Enterprise Data & Governance;","","General","",""
"Material Group 2","You can use material groups when maintaining a material master record. Since these material groups are not used in the standard SAP R/3 System, you can use them as required, for example, for analyses.","Approved","","","","","Rachel.Merrill@hanes.com:Rachel Merrill-Product Data Domain Lead;","","Material-Product","","MDG-MVKE-MVGR2"
"Distribution Center","Distribution centers are logistics facilities that store finished goods before they're picked and packed to fulfill customer orders. In a sense, they can be thought of as specialized, strategically located warehouses.","Approved","","","DC","Paola.Marsal@hanes.com: Sr. Mgr Customer Service;","Kimberly.Beardsley@hanes.com:Kim Beardsley-Customer Domain Lead;","","Customer","Customer DC","MDG-KNVV-FSH_MSOCDC"
"Incoterm 2","Additional information for the primary Incoterm.","Approved","","","","Paola.Marsal@hanes.com: Sr. Mgr Customer Service;","Kimberly.Beardsley@hanes.com:Kim Beardsley-Customer Domain Lead;","","Customer","","MDG-KNVV-INCO2_L"
"Customer Descr (IBP)","Description of the Customer","Approved","","","","","Kimberly.Beardsley@hanes.com:Kim Beardsley-Customer Domain Lead;","","Customer","","IBP-Customer-CUSTDESCR"
"SAP Material Status (IBP)","SAP Material Status
EX Values: 50, 55, 60","Approved","","","","","Rachel.Merrill@hanes.com:Rachel Merrill-Product Data Domain Lead;","","Material-Product","","IBP-Location Product-ZZMATSTATUS"
"Site Name 1","Name 1 of the customer/vendor/site","Approved","","","","","Rachel.Merrill@hanes.com:Rachel Merrill-Product Data Domain Lead;","","Site","","MDG-KNVK-NAME_1, MDG-T001W-NAME1"
"External Color Short Description (APS)","A system of letters numbers, or symbols into which normal language is converted to allow the hue of a HBI product to be communicated ","Approved","","","","","Catherine.Brown@hanes.com:Cathy Brown;","","Material-Product","","APS-EXTERNAL_SKU_XREF-EXTERNAL_COLOR_SHORT_DESC"
"Site Sales District","A geographical sales district or region.
Use
Each customer can be assigned to a sales district. You can use sales districts to apply pricing conditions. When you want to generate sales statistics, you can use sales districts as a selection criteria.<br>Procedure<br>The system can propose a value from the customer master record of the sold-to party. You can change the value manually in the document at the header or item level.","Approved","","","","","Rachel.Merrill@hanes.com:Rachel Merrill-Product Data Domain Lead;","","Site","","MDG-T001W-BZIRK"
"Identification Number (AFS)","Number that serves to identify a business partner, e.g. Legacy Xref.","Approved","","","","Paola.Marsal@hanes.com: Sr. Mgr Customer Service;","Kimberly.Beardsley@hanes.com:Kim Beardsley-Customer Domain Lead;","","Customer","","AFS-BUT0ID-IDNUMBER"
"Garment Type Code (APS)","The garment type is a marketing classification.
","Approved","","","","","Catherine.Brown@hanes.com:Cathy Brown;","","Material-Product","","APS-STYLE_CHP-GARMENT_TYPE_CD"
"External Color (APS)","A system of letters numbers, or symbols into which normal language is converted to allow the hue of a HBI product to be communicated ","Approved","","","","","Catherine.Brown@hanes.com:Cathy Brown;","","Material-Product","","APS-EXTERNAL_SKU_XREF-EXTERNAL_COLOR"
"Structure for Name Formation","See glossary entry: naming structure","Approved","","","","","Rachel.Merrill@hanes.com:Rachel Merrill-Product Data Domain Lead;","","Site","","MDG-T001W-NSCHEMA"
"Space management profile","Grouping of control parameters for connection with external space management programs.","Approved","","","","","Rachel.Merrill@hanes.com:Rachel Merrill-Product Data Domain Lead;","","Site","","MDG-WRF1-SSOPT_PRO"
"VAT Registration Number","VAT registration number (VAT reg.no.) of the customer, vendor or your company code.","Approved","","","","Paola.Marsal@hanes.com: Sr. Mgr Customer Service;","Kimberly.Beardsley@hanes.com:Kim Beardsley-Customer Domain Lead;","","Customer","","MDG-KNA1-STCEG"
"Material-Product Price unit","The number of units that the moving or standard price relates to. Important when entering materials with very small prices, to prevent rounding errors.","Approved","","","","","Rachel.Merrill@hanes.com:Rachel Merrill-Product Data Domain Lead;","","Material-Product","","MDG-MBEW-PEINH"
"Location Code (APS)","The location should be the plant code in which the specified activity occurs.  


","Approved","","","","","Catherine.Brown@hanes.com:Cathy Brown;","","Material-Product","","APS-ACTIVITY_ROUTING-LOCATION_CD, APS-OPER_ROUTING-LOCATION_CD"
"Customer Transportation LeadTime (IBP)","The transportation lead-time is the time in days that is needed to organize the shipping of the goods. This might include booking a ship and reserving a truck from a forwarding agent. It is defined for a route. Specifies the lead time for shipping the product to the customer as a number of planning periods.","Approved","","","","","Kimberly.Beardsley@hanes.com:Kim Beardsley-Customer Domain Lead;","","Customer","","IBP-Customer Source-CLEADTIME"
"Describe RNC","Text field in Lawson to describe RNC","Approved","","","","","Rachel.Merrill@hanes.com:Rachel Merrill-Product Data Domain Lead;","","Supplier","","MDG-LFA1-ZZUSERNAME5"
"Address","Identification of an address (name, postal code, city, and so on) in Business Address Services.","Approved","","","","","Rachel.Merrill@hanes.com:Rachel Merrill-Product Data Domain Lead;","","Site","","MDG-T001W-ADRNR"
"Bank ID","In this field, you specify the bank key under which bank data from the respective country is stored.
When you define the country key, you also specify the country-specific definition of the bank key.
Normally, you manage banks using their bank number. The bank number in the control data for the bank is then displayed twice, that is, as the bank key too.
In certain countries, the bank account number takes on this function; then there are no bank numbers and the bank data is managed using the account number.
For data medium exchange, you may find it useful to be able to enter foreign business partners without a bank number, even if there are bank numbers in the country in question. In this case, the bank key can be assigned internally.
To manage bank data using another key, for example, the SWIFT code, external number assignment can also be used.","Approved","","","","Steven.Caudill@hanes.com:Steven Caudill-Sr Mgr Global Transaction Services;","Rachel.Merrill@hanes.com:Rachel Merrill-Product Data Domain Lead;","","Supplier","","MDG-"
"Production Shipment Frequency (IBP)","Number of Production Shipments in a given time period","Approved","","","","","dean.spriegel@hanes.com:Dean Spriegel - Planning Domain Lead;","","Planning","","IBP-Production Source-PSHIPMENTFREQUENCY"
"Standard carrier access code","The Standard Carrier Access Code (SCAC) is an indicator used by forwarding agents in North America.
Use
Unique code for identifying a forwarding agent","Approved","","","","Derrick.Claggett@hanes.com:Derrick Claggett - Sr Mgr Technical Solution Owner;","Rachel.Merrill@hanes.com:Rachel Merrill-Product Data Domain Lead;","","Supplier","","MDG-LFA1-SCACD"
"External Facility (APS)","External Cross Refernce Facility","Approved","","","","","Catherine.Brown@hanes.com:Cathy Brown;","","Material-Product","","APS-EXTERNAL SKU XREF-EXTERNAL FACILITY"
"Net Weight","Net weight expressed in the unit of weight specified by you in the Unit of weight field.
A size/dimension for net weight that may be relevant to shipping companies related to packing or shipping the material.","Approved","","","","","Rachel.Merrill@hanes.com:Rachel Merrill-Product Data Domain Lead;","","Material-Product","","MDG-MARA-NTGEW"
"Standard Cost (IBP)","The Accounting Standard Unit Cost of the product","Approved","","","","","Rachel.Merrill@hanes.com:Rachel Merrill-Product Data Domain Lead;","","Material-Product","","IBP-Product-ZZSTPRS"
"Seasonality (IBP)","S4 Product Attribute

Note: Not applicable for Placeholder Products.","Approved","","","","","Rachel.Merrill@hanes.com:Rachel Merrill-Product Data Domain Lead;","","Material-Product","","IBP-Product-ZZSEASONALITY"
"Quality  Code (APS)","
THE quality code IS used TO designate FIRST quality garments FROM OFF quality garments.
 	1- Code TO be used FOR FIRST quality garment STYLE numbers.
 	2- Code TO be used FOR SECOND quality garment STYLE numbers. (Irregulars)
 	4- Code previously used FOR CSW AND PRT closeouts.  Quality code 4 has been SET TO inactive ON THE APS TABLE AND should NOT be used.   Items should be SET TO closeout ON THE SKU TABLE.   
 	5- Code TO be used FOR CSW AND PRT imperfects.","Approved","","","","","Catherine.Brown@hanes.com:Cathy Brown;","","Material-Product","","APS-STYLE-QUALITY_CD"
"Supplier Name 1","Name 1 of the customer/vendor/site","Approved","","","","","Rachel.Merrill@hanes.com:Rachel Merrill-Product Data Domain Lead;","","Supplier","","MDG-LFA1-NAME1, MDG-KNVK-NAME_1, MDG-ADRC-NAME1, MDG-BUT000-NAME_ORG1"
"Plant Code (APS)","The plant is the facility where specified activity occurs.  

","Approved","","","","","Catherine.Brown@hanes.com:Cathy Brown;","","Material-Product","","APS-OPER_ROUTING-PLANT_CD, APS-PLANT-PLANT_CD"
"Plant from Which Material is Procured","Designated Plant from Which Material is Procured vs being purchased externally.","Approved","","","","","Rachel.Merrill@hanes.com:Rachel Merrill-Product Data Domain Lead;","","Source List","","MDG-EORD-RESWK"
"Material-Product Valid-to date","Specifies the end date for the validity period of an object (such as material, BOM, or routing).
Valid-to date in current Release only 99991231 possible","Approved","","","","","Rachel.Merrill@hanes.com:Rachel Merrill-Product Data Domain Lead;","","Material-Product","Valid To","MDG-STKO-VALID_TO"
"Customer Group (IBP)","Customer account groups are used to classify customers into business partner functions that fit best the nature of the business transaction.","Approved","","","","","Kimberly.Beardsley@hanes.com:Kim Beardsley-Customer Domain Lead;","","Customer","","IBP-Demand Stream-CUSTGROUP"
"Material-Product Denominator for Conversion to  Base Units of Measure","Denominator of the quotient that specifies the ratio of the alternative unit of measure to the base unit of measure. To convert a quantity, whose unit of measure is not the same as the base unit of measure, into the base unit of measure, the system requires a quotient:
Enter the number of units of the alternative unit of measure (denominator) that corresponds to the number of units of the base unit of measure (numerator).
You may enter only whole numbers in the numerator and denominator fields; that is, if 3.14 m� correspond to one piece, you must enter integer multiples (314 m� = 100 PC). In this case, the quotient is therefore 100/314 (the numerator being 100 and the denominator 314).","Approved","","","","","Rachel.Merrill@hanes.com:Rachel Merrill-Product Data Domain Lead;","","Material-Product","","MDG-MARM-UMREN"
"STYLE GROUP","Group of materials with the same accounting requirements. Used by the system when creating an accounting document from a billing document to determine the revenue or sales deduction account.","Approved","","","","Amy.Greeson@hanes.com:GROWTH TEAM-Champion No America Amy Greeson (Male);","Rachel.Merrill@hanes.com:Rachel Merrill-Product Data Domain Lead;","","Material-Product","","MDG-MARA-ZZSTYLEGROUP"
"Each Base Unit Indicator (APS)","All each base unit indicators are set to Y with the exception of Casual wear jersey, Attributed Jersey, Printables and All Corporate Division codes","Approved","","","","","Catherine.Brown@hanes.com:Cathy Brown;","","Material-Product","","APS-STYLE-EACH_BASE_UNIT_IND"
"Search term for matchcode search 3 (City)","This data element is only used for fields in matchcode IDs. The texts of the data element are changed within maintenance of the table TFMC and the data element is activated","Approved","","","","","Rachel.Merrill@hanes.com:Rachel Merrill-Product Data Domain Lead;","","Supplier","","MDG-LFA1-MCOD3"
"Updating is Active in Actual Costing","If you want to work with multi-level price determination in the Actual Costing/ Material Ledger component, you must set this indicator so that the acutal quantity structure is updated.
Requirements
In addition, you must:
�activate the material ledger for the relevant valuation areas in Customizing for the Actual Costing/Material Ledger component.
�prepare the data in the application for the material ledger (production startup)","Approved","","","","","Rachel.Merrill@hanes.com:Rachel Merrill-Product Data Domain Lead;","","Site","","MDG-T001W-MGVUPD"
"Purchasing Info Record GR-Based Invoice Verification","Indicator specifying that provision has been made for goods-receipt-based invoice verification for a purchase order item or invoice item.","Approved","","","","","Rachel.Merrill@hanes.com:Rachel Merrill-Product Data Domain Lead;","","Purchasing Info Record","GR Based IV","MDG-EINE-WEBRE"
"Batch Record: Type of DMS Used","Using this key, you specify the type of document management system you want to use to manage your batch records (for example, the SAP Document Management System or a non-SAP system).","Approved","","","","","Rachel.Merrill@hanes.com:Rachel Merrill-Product Data Domain Lead;","","Site","","MDG-T001W-DVSART"
"Sales District (AFS)","A geographical sales district or region.","Draft","","","","Paola.Marsal@hanes.com: Sr. Mgr Customer Service;","Kimberly.Beardsley@hanes.com:Kim Beardsley-Customer Domain Lead;","","Customer","Sales District","AFS-KNVV-BZIRK"
"Brand Group (IBP)","Indicates the Brand Group of the product

EX Values: C9, CHAMPION, DUOFOLD, OUTSIDE BRANDS","Approved","","","","","Rachel.Merrill@hanes.com:Rachel Merrill-Product Data Domain Lead;","","Material-Product","","IBP-Product-ZZBRANDGROUP"
"Product Loc Indicator (APS)","The product locator indicator allows the customer’s inventory to be displayed via Hanes.Net.  ","Approved","","","","","Catherine.Brown@hanes.com:Cathy Brown;","","Material-Product","","APS-SKU_PRT-PRODUCT_LOC_IND"
"Std Inner Pack Whs Qty (APS)"," The standard inner pack warehouse quantity is optional.  This field was previously known as style box warehouse quantity.  ","Approved","","","","","Catherine.Brown@hanes.com:Cathy Brown;","","Material-Product","","APS-SKU_REVISION-STD_INNER_PACK_WHS_QTY"
"Phone No (APS)","Phone Number","Approved","","","","","Catherine.Brown@hanes.com:Cathy Brown;","","Site","","APS-PLANT-PHONE NO"
"Pack Code","Product Pack Size Indicator from PkMS (number of garment in a package)","Approved","","","","","Rachel.Merrill@hanes.com:Rachel Merrill-Product Data Domain Lead;","","Material-Product","","MDG-MARA-ZZPACKCODE"
"Packaging mat type","Packaging Material Type - Enter a code and a description for a grouping of similar materials, such as crates, trucks or pallets.
The packaging material type that you enter here is linked in Customizing to a material group for packaging materials, which you assign to a material in the material master. As you assemble the handling unit, you call up a list of packaging materials that are allowed for an item that you want to pack. This system puts together this list by matching the material group for packaging materials for that item with the appropriate packaging material types.
During packing, when you call up the list of allowed packaging materials for a material defined in the material master as material group 0001 (beverages), the system lists all packaging materials of type 0010 (barrels) and 0020 (bottles). For group 0002 (small parts), packaging materials assigned to types 0030 (boxes) and 0040 (plastic bags) would be proposed and for group 0003, packaging materials of types 0050 (containers) and 0060 (trucks) would be proposed.
The groupings and packaging material types are freely definable","Approved","","","","","Rachel.Merrill@hanes.com:Rachel Merrill-Product Data Domain Lead;","","Material-Product","","MDG-MARA-VHART"
"QUANTITY GOODS ISSUED","Quantity that has shipped","Approved","","","","","Charlie.Crews@hanes.com:Charlie Crews - Director, Enterprise Data & Governance;","","General","",""
"Target UoM (IBP)","Quantities of warehouse materials (quants) are counted using the base unit of measure (UoM). ... In the SAP System, the term ""base unit of measure"" is more commonly used. This is linked to the Base UoM in Product","Approved","","","","","Rachel.Merrill@hanes.com:Rachel Merrill-Product Data Domain Lead;","","Material-Product","","IBP-Unit of Measure-UOMTOID"
"Corp Std Path Indicator (APS)","THE corporate standard path INDICATOR indicates which bom AND routing will be used TO derive THE corporate standard path.  ONLY one path per SKU can be marked AS THE corporate standard path.  THE DATA Foundation GROUP will SET THE ""primary"" path AS THE corporate standard path, marking ALL other paths WITH an ""no"".  Finance will be responsible FOR maintenance changes. FOR Champion womens paths, IF BOTH Griffin AND Honduras are manufacturing a SKU, SELECT THE Honduras path AS THE corporate standard path. Corporate Standard Path Indicator- Only one path per sku should be marked as the corporate standard path. ","Approved","","","","","Catherine.Brown@hanes.com:Cathy Brown;","","Material-Product","","APS-MFG_PATH-CORP_STD_PATH_IND"
"Dest Mchn Name (APS)","Destination Machine Name","Approved","","","","","Catherine.Brown@hanes.com:Cathy Brown;","","Site","","APS-PLANT-DEST MCHN NAME"
"Sewing Indicator (APS)","Indicator If Plant Is A Sewing Plant","Approved","","","","","Catherine.Brown@hanes.com:Cathy Brown;","","Site","","APS-PLANT-SEWING IND"
"Designation Code (APS)","
THE designation code indicates IF THE STYLE IS a shippable STYLE OR IF it IS a manufacturing STYLE.  This field was previously known AS USAGE designation.      ","Approved","","","","","Catherine.Brown@hanes.com:Cathy Brown;","","Material-Product","","APS-SKU_PRT-DESIGNATION_CD"
"PACK SEPARATELY SHIP TOGETHER (PSST)","Grouping of Sales Order Items (within a single order or across several documents)​ influenced by business rules given by the customers","Approved","","","","","Charlie.Crews@hanes.com:Charlie Crews - Director, Enterprise Data & Governance;","","General","",""
"Product Features Leg Binding (PLM)","This characteristic describes the location of the leg binding characteristic and limits the choice of values for that characteristic.","Approved","","","","","Rachel.Merrill@hanes.com:Rachel Merrill;","","Material-Product","","PLM-Product-hbiErpProductFeaturesLegBinding"
"Season Type 3","Freely definable field. This will be the Drop season indicator for Hanes","Approved","","","","Andrew.Greenstein@hanes.com:Andrew Greenstein;","Rachel.Merrill@hanes.com:Rachel Merrill-Product Data Domain Lead;","","Material-Product","","MDG-FSH_SEASONS_MAT-SEASON3"
"Procurement Type","Indicator that defines how the material is procured. The following procurement types are possible:
- the material is produced in-house
- the material is procured externally
- the material can be both produced in-house and procured externally","Approved","","","","","Rachel.Merrill@hanes.com:Rachel Merrill-Product Data Domain Lead;","","Material-Product","","MDG-MARC-BESKZ"
"DYED LONG FOLD (DLF)","Dyed longfold","Approved","","","","","Charlie.Crews@hanes.com:Charlie Crews - Director, Enterprise Data & Governance;","","General","",""
"Setting for Packing Materials in Documents","It is s system populated field that we should, not touch","Approved","","","","Paola.Marsal@hanes.com: Sr. Mgr Customer Service;","Kimberly.Beardsley@hanes.com:Kim Beardsley-Customer Domain Lead;","","Customer","","MDG-KNVV-FSH_VAS_DETC"
"Capacity Group (APS)","
IN THE United States, an incorporated urban center that has self-government, boundaries, AND legal rights established BY state charter ","Approved","","","","","Catherine.Brown@hanes.com:Cathy Brown;","","Material-Product","","APS-OPER_ROUTING-CAPACITY_GROUP"
"Service Level Type Indicator (IBP)","Service Level Type Indicator F indicates that it is fill rate type service level i.e. SLA can be defined as total number of units delivered in the give period / total number of units requested in the same period.","Approved","","","","","dean.spriegel@hanes.com:Dean Spriegel - Planning Domain Lead;","","Planning","","IBP-Location Product-SERVICELEVELTYPE"
"Master Invoice (AFS)","Customers invoice can be created by PO level or BOL","Approved","","","","Paola.Marsal@hanes.com: Sr. Mgr Customer Service;","Kimberly.Beardsley@hanes.com:Kim Beardsley-Customer Domain Lead;","","Customer","","AFS-KNVV-J_3AKVGR10"
"NON-LEADING LEDGER","Additional ledgers that are used when an organization must report according to multiple accounting principles or alternate fiscal years for statutory reporting.","Approved","","","","","Charlie.Crews@hanes.com:Charlie Crews - Director, Enterprise Data & Governance;","","General","",""
"Valuation type","Uniquely identifies separately valuated stocks of a material. The valuation types allowed for a material are determined by the valuation category.","Approved","","","","Melissa.Doll@hanes.com:PRODUCT DEV-Activewear Melissa Doll (Sr Mgr);Bernadette.Ledbetter-Booker@hanes.com:PRODUCT MGT-Champion Bernadette Booker (Sr Mgr);","Rachel.Merrill@hanes.com:Rachel Merrill-Product Data Domain Lead;","","Material-Product","","MDG-MBEW-BWTAR"
"Order Price Unit (Purchasing)","Specifies the unit of measure to which the purchase order price relates.","Approved","","","","","Rachel.Merrill@hanes.com:Rachel Merrill-Product Data Domain Lead;","","Purchasing Info Record","","MDG-EINE-BPRME"
"Receiving Activity Indicator (APS)","A flag that signifies if the activity is related to receiving","Approved","","","","","Catherine.Brown@hanes.com:Cathy Brown;","","Material-Product","","APS-ACTIVITY-RECEIVING_ACTIVITY_IND"
"MEANS OF TRANSPORTATION","Code identifying the means of transport (container or trailer size)","Approved","","","","","Charlie.Crews@hanes.com:Charlie Crews - Director, Enterprise Data & Governance;","","General","",""
"Search Term 2 (AFS)","Denotes the term that you define for a business partner, and via which you can restrict the search for a business partner in the business partner search or in the locator.","Approved","","","","Paola.Marsal@hanes.com: Sr. Mgr Customer Service;","Kimberly.Beardsley@hanes.com:Kim Beardsley-Customer Domain Lead;","","Customer","","AFS-ADRC-SORT2, AFS-BUT000-BU_SORT2"
"Master Invoice","Customers invoice can be created by PO level or BOL","Approved","","","","Paola.Marsal@hanes.com: Sr. Mgr Customer Service;","Kimberly.Beardsley@hanes.com:Kim Beardsley-Customer Domain Lead;","","Customer","","MDG-KNA1-KATR1"
"Country Code (APS)","
A symbolic representation OF a nation OR state that IS politically independent, OR a land that was formerly independent AND remains SEPARATE IN SOME respects ","Approved","","","","","Catherine.Brown@hanes.com:Cathy Brown;","","Site","","APS-PLANT-COUNTRY_CD"
"Each Dispatch Unit Indicator (APS)","EACH_DISPATCH_UNIT_IND indicators are set to N for Printables and All Corporate Division codes. EACH_DISPATCH_UNIT_IND indicators are set to Y  forCasual wear jersey, Attributed Jersey,

 Row#	CORP_DIVISION_CD	CORP_DIVISION_SHORT_DESC	EACH_CNSMR_UNIT_IND

1	25	CASUALWEAR JERSEY	Y
2	26	ATTRIBUTED JERSEY	Y
3	35	PRINTABLES	N
4	AL	ALL	N ","Approved","","","","","Catherine.Brown@hanes.com:Cathy Brown;","","Material-Product","","APS-STYLE-EACH_DISPATCH_UNIT_IND"
"Department","Name of the department of a business partner for your internal usage.","Approved","","","","","Rachel.Merrill@hanes.com:Rachel Merrill-Product Data Domain Lead;","","Supplier","DEPT","MDG-BUT051-ABTNR"
